開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
酒窩	jiu3 wo1	(anat) kavetoj (vangaj)
九億	jiu3 yi4	naŭcent miliono (900 000 000)
九月	jiu3 yue4	septembro
九月八號	jiu3 yue4  ba1  hao4	la oka de septembro
九月八日	jiu3 yue4  ba1  ri4	la oka de septembro
九月二號	jiu3 yue4  er4  hao4	la dua de septembro
九月二日	jiu3 yue4  er4  ri4	la dua de septembro
九月二十號	jiu3 yue4  er4 shi2  hao4	la dudeka de septembro
九月二十日	jiu3 yue4  er4 shi2  ri4	la dudeka de septembro
九月二十八號	jiu3 yue4  er4 shi2 ba1  hao4	la dudek oka de septembro
九月二十八日	jiu3 yue4  er4 shi2 ba1  ri4	la dudek oka de septembro
九月二十二號	jiu3 yue4  er4 shi2 er4  hao4	la dudek dua de septembro
九月二十二日	jiu3 yue4  er4 shi2 er4  ri4	la dudek dua de septembro
九月二十九號	jiu3 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de septembro
九月二十九日	jiu3 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de septembro
九月二十六號	jiu3 yue4  er4 shi2 liu4  hao4	la dudek sesa de septembro
九月二十六日	jiu3 yue4  er4 shi2 liu4  ri4	la dudek sesa de septembro
九月二十七號	jiu3 yue4  er4 shi2 qi1  hao4	la dudek sepa de septembro
九月二十七日	jiu3 yue4  er4 shi2 qi1  ri4	la dudek sepa de septembro
九月二十三號	jiu3 yue4  er4 shi2 san1  hao4	la dudek tria de septembro
九月二十三日	jiu3 yue4  er4 shi2 san1  ri4	la dudek tria de septembro
九月二十四號	jiu3 yue4  er4 shi2 si4  hao4	la dudek kvara de septembro
九月二十四日	jiu3 yue4  er4 shi2 si4  ri4	la dudek kvara de septembro
九月二十五號	jiu3 yue4  er4 shi2 wu3  hao4	la dudek kvina de septembro
九月二十五日	jiu3 yue4  er4 shi2 wu3  ri4	la dudek kvina de septembro
九月二十一號	jiu3 yue4  er4 shi2 yi1  hao4	la dudek unua de septembro
九月二十一日	jiu3 yue4  er4 shi2 yi1  ri4	la dudek unua de septembro
九月九號	jiu3 yue4  jiu3  hao4	la naŭa de septembro
九月九日	jiu3 yue4  jiu3  ri4	la naŭa de septembro
九月六號	jiu3 yue4  liu4  hao4	la sesa de septembro
九月六日	jiu3 yue4  liu4  ri4	la sesa de septembro
九月七號	jiu3 yue4  qi1  hao4	la sepa de septembro
九月七日	jiu3 yue4  qi1  ri4	la sepa de septembro
九月三號	jiu3 yue4  san1  hao4	la tria de septembro
九月三日	jiu3 yue4  san1  ri4	la tria de septembro
九月三十號	jiu3 yue4  san1 shi2  hao4	la trideka de septembro
九月三十日	jiu3 yue4  san1 shi2  ri4	la trideka de septembro
九月十號	jiu3 yue4  shi2  hao4	la deka de septembro
九月十日	jiu3 yue4  shi2  ri4	la deka de septembro
九月十八號	jiu3 yue4  shi2 ba1  hao4	la dek oka de septembro
九月十八日	jiu3 yue4  shi2 ba1  ri4	la dek oka de septembro
九月十二號	jiu3 yue4  shi2 er4  hao4	la dek dua de septembro
九月十二日	jiu3 yue4  shi2 er4  ri4	la dek dua de septembro
九月十九號	jiu3 yue4  shi2 jiu3  hao4	la dek naŭa de septembro
九月十九日	jiu3 yue4  shi2 jiu3  ri4	la dek naŭa de septembro
九月十六號	jiu3 yue4  shi2 liu4  hao4	la dek sesa de septembro
九月十六日	jiu3 yue4  shi2 liu4  ri4	la dek sesa de septembro
九月十七號	jiu3 yue4  shi2 qi1  hao4	la dek sepa de septembro
九月十七日	jiu3 yue4  shi2 qi1  ri4	la dek sepa de septembro
九月十三號	jiu3 yue4  shi2 san1  hao4	la dek tria de septembro
九月十三日	jiu3 yue4  shi2 san1  ri4	la dek tria de septembro
九月十四號	jiu3 yue4  shi2 si4  hao4	la dek kvara de septembro
九月十四日	jiu3 yue4  shi2 si4  ri4	la dek kvara de septembro
九月十五號	jiu3 yue4  shi2 wu3  hao4	la dek kvina de septembro
九月十五日	jiu3 yue4  shi2 wu3  ri4	la dek kvina de septembro
九月十一號	jiu3 yue4  shi2 yi1  hao4	la dek unua de septembro
九月十一日	jiu3 yue4  shi2 yi1  ri4	la dek unua de septembro
九月四號	jiu3 yue4  si4  hao4	la kvara de septembro
九月四日	jiu3 yue4  si4  ri4	la kvara de septembro
九月五號	jiu3 yue4  wu3  hao4	la kvina de septembro
九月五日	jiu3 yue4  wu3  ri4	la kvina de septembro
九月一號	jiu3 yue4  yi1  hao4	la unua de septembro
九月一日	jiu3 yue4  yi1  ri4	la unua de septembro
廄	jiu4	ĉevalejo
舊	jiu4	malnova
臼齒	jiu4 chi3	mueldento; molaro (dento)
救護車	jiu4 hu4 che1	ambulanco
就像	jiu4 xiang4	kvazaŭ
車	ju1	turo (ŝako)
駒	ju1	ĉevalido
車	ju1	militĉaro (ĉina ŝako)
居民	ju1 min2	loĝanto
居住	ju1 zhu4	loĝi
菊	ju2	(pla-sci) krizantemo; krizantemfloro (latine, Chrysanthemum)
鋦	ju2	(kem) kuriumo; la elemento kuriumo (Cm), atomnumero 96
菊花	ju2 hua1	(pla-sci) krizantemo; krizantemfloro (latine, Chrysanthemum)
菊苣	ju2 ju4	(pla-sci) cikorio; (latine, Cichorium intybus)
橘色	ju2 se4	oranĝkolora; oranĝa
沮喪	ju3 sang4	deprimita
據	ju4	laŭ
劇	ju4	teatraĵo
巨大	ju4 da4	giganta
句法	ju4 fa3	sintakso (gramatiko)
聚會	ju4 hui4	festo
拒絕	ju4 jue2	rifuzi
巨浪	ju4 lang4	ondego
距離	ju4 li2	distanco
劇情	ju4 qing2	rakontintrigo
劇情片	ju4 qing2 pian4	dramo
巨人	ju4 ren2	giganto
巨杉	ju4 shan1	(pla-sci) sekvojo; giganta sekvojo; sekvojarbo (latine, Sequoia sempervirens)
巨杉樹	ju4 shan1 shu4	(pla-sci) sekvojo; giganta sekvojo; sekvojarbo (latine, Sequoia sempervirens)
據我所知	ju4 wo3 suo3 zhi1	laŭ mia scio
巨星	ju4 xing1	(ast) giganta stelo
句子	ju4 zi5	frazo (gramatiko)
句子成分	ju4 zi5  cheng2 fen4	frazelemento (gramatiko)
鵑	juan1	kukolo (birdo)
捲丹	juan3 dan1	(pla-sci) tigrolilio; tigrolilifloro (latine, Lilium lancifolium)
捲丹花	juan3 dan1 hua1	(pla-sci) tigrolilio; tigrolilifloro (latine, Lilium lancifolium)
決不	jue2 bu4	nepre ne; absolute ne
覺得	jue2 de2	senti; pensi
決定	jue2 ding4	decidi; decido
絕對	jue2 dui4	nepra; absoluta
絕望	jue2 wang4	malespera
絕緣體	jue2 yuan2 ti3	(fiz) izolilo
絕種	jue2 zhong3	formortinta
軍人	jun1 ren2	soldato
咖啡	ka1 fei1	kafo
咖啡館	ka1 fei1 guan3	kafejo
咖啡色	ka1 fei1 se4	bruna
咖啡廳	ka1 fei1 ting1	kafejo
卡車	ka3 che1	kamiono
卡帶	ka3 dai4	sonbendo
卡片	ka3 pian4	karto
開	kai1	malfermi
鐦	kai1	(kem) kalifornio; la elemento kalifornio (Cf), atomnumero 98
開電燈	kai1  dian4 deng1	ŝalti lampon
開車	kai1 che1	veturigi; veturigi aŭton
開燈	kai1 deng1	ŝalti lampon
開放	kai1 fang4	liberala
開關	kai1 guan1	ŝaltilo
開罐器	kai1 guan4 qi4	skatolmalfermilo
開羅宣言	kai1 luo2  xuan1 yan2	Kaira Deklaracio; (1943 KE)
開門	kai1 men2	malfermi la pordon
開始	kai1 shi3	komenci
開玩笑	kai1 wan2 xiao4	ŝerci
看	kan4	rigardi
看電影	kan4  dian4 ying3	spekti filmon
看到	kan4 dao4	vidi
看電視	kan4 dian4 shi4	televidi
看法	kan4 fa3	opinio; vidpunkto
看見	kan4 jian4	vidi
看起來	kan4 qi3 lai2	aspekti
看起來很像	kan4 qi3 lai2  hen3 xiang4	aspekti simile
看書	kan4 shu1	legi
康	kang1	sano
慷慨	kang1 kai3	donacema; malavara
康乃馨	kang1 nai3 xin1	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
康乃馨花	kang1 nai3 xin1 hua1	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
鈧	kang4	(kem) skandio; la elemento skandio (Sc), atomnumero 21
抗議	kang4 yi4	protesti
考古學	kao3 gu3 xue2	arkeologio
考慮	kao3 lv4	pripensi
烤麵包機	kao3 mian4 bao1 ji1	panrostilo
考試	kao3 shi4	testo
烤箱	kao3 xiang1	bakforno
銬	kao4	mankateno
蝌	ke1	ranido (amfibio)
鈳	ke1	(kem) "kolombio" = niobo; la elemento niobo (Nb), atomnumero 41
蝌蚪	ke1 dou3	ranido (amfibio)
科技	ke1 ji4	teknologio
科目	ke1 mu4	fako
科學	ke1 xue2	scienco
科學家	ke1 xue2 jia1	sciencisto
咳嗽	ke2 sou4	tusi
可	ke3	sed
可	ke3	rajti
可愛	ke3 ai4	aminda
可不可以	ke3 bu5 ke3 yi3	ĉu vi povas
可不可以	ke3 bu5 ke3 yi3	ĉu rajtas
可不可以	ke3 bu5 ke3 yi3	ĉu mi rajtas
可憐	ke3 lian2	kompatinda
可能	ke3 neng2	eble
可能性	ke3 neng2 xing4	ebleco
可是	ke3 shi4	sed
渴望	ke3 wang4	sopiri; deziregi
可笑	ke3 xiao4	ridinda
可以	ke3 yi3	rajti; povi
可以變格	ke3 yi3  bian4 ge2	deklinaciebla (gramatiko)
可以變化詞尾	ke3 yi3  bian4 hua4  ci2 wei3	deklinaciebla (gramatiko)
氪	ke4	(kem) kriptono; la elemento kriptono (Kr), atomnumero 36
課	ke4	leciono
課本	ke4 ben3	lernolibro
客觀	ke4 guan1	objektiva
客戶	ke4 hu4	kliento; aĉetanto
克羅埃西亞語	ke4 luo2 di4 ya4 yu3	la kroata; la kroata lingvo
克洛諾斯	Ke4 luo4 nuo4 si1	Krono (helena mitologio)
客氣	ke4 qi4	ĝentila
客人	ke4 ren2	gasto
空	kong1	malplena
空間	kong1 jian1	spaco
空軍	kong1 jun1	aerarmeo
空氣	kong1 qi4	aero
空氣污染	kong1 qi4  wu1 ran3	aerpoluo
孔	kong3	truo
恐怖	kong3 bu4	teruro
恐怖分子	kong3 bu4  fen4 zi5	teroristo
恐嚇	kong3 he4	minaco
恐慌	kong3 huang1	paniko
恐懼	kong3 ju4	timo
恐龍	kong3 long2	dinosaŭro
控制	kong4 zhi4	regi
口	kou3	buŝo
口袋	kou3 dai4	poŝo
口渴	kou3 ke3	soifa
口腔	kou3 qiang1	buŝkavo
口水	kou3 shui3	(anat) salivo
口味	kou3 wei4	aromo; gusto
口音	kou3 yin1	prononcmaniero
骷	ku1	(anat) skeleto; ostaro
哭	ku1	plori
窟	ku1	kavo
窟窿	ku1 long2	kavo
骷髏	ku1 lou2	(anat) skeleto; ostaro
哭泣	ku1 qi4	plori
苦	ku3	amara
苦艾	ku3 ai4	(pla-sci) absinto; (latine, Artemisia absinthium)
苦味	ku3 wei4	amara gusto
褲子	ku4 zi5	pantalono
誇張	kua1 zhang1	troigi
快	kuai4	rapida
快樂	kuai4 le4	feliĉa
寬	kuan1	larĝa
髖	kuan1	(anat) kokso
髖骨	kuan1 gu3	(anat) kokso
狂人	kuang2 ren2	frenezulo
葵	kui2	(pla-sci) helianto; heliantfloro (latine, Helianthus annuus)
葵花	kui2 hua1	(pla-sci) helianto; heliantfloro (latine, Helianthus annuus)
昆蟲	kun1 chong2	insekto
昆明	kun1 ming2	Kunmingo; ĉefurbo de la ĉina provinco Junano
困難	kun4 nan2	malfacila
拉丁文	la1 ding1 wen2	Latino; la latina lingvo
垃圾	la1 ji1	ruboj
垃圾桶	la1 ji1 tong3	rubujo
拉薩	la1 sa4	Lasao; ĉefurbo de la ĉina provinco Tibeto
拉脫維亞語	la1 tuo1 wei2 ya4 yu3	la latva; la latva lingvo
喇叭	la3 ba1	parolilo; laŭtparolilo
喇叭花	la3 ba5 hua1	(pla-sci) ipomeo; ipomefloro (latine, Ipomoea nil)
辣	la4	pika
辣味	la4 wei4	pika gusto
蠟燭	la4 zhu2	kandelo
錸	lai2	(kem) renio; la elemento renio (Re), atomnumero 75
來	lai2	veni
萊姆樹	lai2 mu3 shu4	(pla-sci) limearbo
來晚	lai2 wan3	malfruiĝi
來晚了	lai2 wan3 le5	malfruiĝis
來源	lai2 yuan2	fonto
來自	lai2 zi4	veni de; deveni el
藍	lan2	blua
蘭	lan2	(pla-sci) orkido
鑭 	lan2	(kem) lantano; la elemento lantano (La), atomnumero 57
蘭花	lan2 hua1	(pla-sci) orkido
藍色	lan2 se4	blua
闌尾	lan2 wei3	(anat) apendico
藍星	lan2 xing1	(ast) blua stelo
蘭州	lan2 zhou1	Lanĝoŭo; ĉefurbo de la ĉina provinco Gansuo
籃子	lan2 zi5	korbo
欖	lan3	(pla-sci) olivarbo; (latine, Olea europaea)
懶惰	lan3 duo4	mallaborema
爛	lan4	aĉa
濫用	lan4 yong4	misuzi
狼	lang2	lupo (mambesto)
琅	lang2	emajlo
海浪	lang4	marondo
浪	lang4	ondo
莨菪	lang4 dang4	(pla-sci) hiskiamo; (latine, Hyoscyamus niger)
浪費	lang4 fei4	malŝpari
浪費時間	lang4 fei4  shi2 jian1	malŝpari tempon
浪漫	lang4 man4	romantika
牢	lao2	malliberejo
鐒	lao2	(kem) laŭrencio; la elemento laŭrencio (Lr), atomnumero 103
勞動	lao2 dong4	manlaboro; laboro
牢騷	lao2 sao1	plendo
牢獄	lao2 yu4	malliberejo
銠	lao3	(kem) rodio; la elemento rodio (Rh), atomnumero 45
老	lao3	maljuna
老闆	lao3 ban3	ĉefo
老鸛草	lao3 he4 cao3	(pla-sci) geranio; geranifloro (latine, Geranium)
老虎	lao3 hu3	tigro (mambesto)
老舊	lao3 jiu4	malnova
老師	lao3 shi1	instruisto
老鼠	lao3 shu3	muso (mambesto)
寮國語	lao3 wo1 yu3	la laosa; la laosa lingvo
老鷹	lao3 ying1	aglo (birdo)
樂	le4	ridi
樂	le4	feliĉa
樂	le4	ĝojo; ĝoja
樂觀	le4 guan1	optimisma
樂趣	le4 qu4	amuzo; amuzado
鐳	lei2	(kem) radiumo; la elemento radiumo (Ra), atomnumero 88
雷達	lei2 da2	radaro
雷電	lei2 dian4	fulmotondro; tondro kaj fulmo
雷聲	lei2 sheng1	tondro
蕾	lei3	(plantoj) burĝono
累	lei4	laca
淚	lei4	(anat) larmo
肋	lei4	(anat) ripo
肋骨	lei4 gu3	(anat) ripo
肋骨架	lei4 gu4 jia4	(anat) ripkaĝo
淚水	lei4 shui3	(anat) larmo
類似	lei4 si4	samspeca; simila
冷	leng3	malvarma
冷凍	leng3 dong4	frostigita
冷凍庫	leng3 dong4 ku4	frostigilo
冷戰	leng3 zhan4	la Malvarma milito; 1948-1991 KE
離	li2	foriri
璃	li2	vitro
黎	li2	tagiĝo
梨	li2	(pla-sci) pirarbo; (latine, Pyrus)
離婚	li2 hun1	eksedziĝo
離婚	li2 hun1	eksedziĝi; eksedziniĝi
離開	li2 kai1	foriri
黎明	li2 ming2	tagiĝo
梨樹	li2 shu4	(pla-sci) pirarbo; (latine, Pyrus)
鯉	li3	karpo (fiŝo)
鋰	li3	(kem) litio; la elemento litio (Li), atomnumero 3
李	li3	(pla-sci) prunarbo; (latine, Prunus domestica)
禮拜二	li3 bai4 er4	mardo
禮拜六	li3 bai4 liu4	sabato
禮拜日	li3 bai4 ri4	dimanĉo
禮拜三	li3 bai4 san1	merkredo
禮拜四	li3 bai4 si4	ĵaŭdo
禮拜天	li3 bai4 tian1	dimanĉo
禮拜五	li3 bai4 wu3	vendredo
禮拜一	li3 bai4 yi1	lundo
理解	li3 jie3	kompreni
理解力	li3 jie3 li4	kompreneco
理論	li3 lun4	teorio
禮貌	li3 mao4	ĝentila
裏面	li3 mian4	interne
李樹	li3 shu4	(pla-sci) prunarbo; (latine, Prunus domestica)
禮物	li3 wu4	donaco
理想	li3 xiang3	ideala
理性	li3 xing4	racieco
理由	li3 you2	kialo; kaŭzo
鯉魚	li3 yu2	karpo (fiŝo)
荔	li4	(pla-sci) liĉiarbo; (latine, Litchi chinensis)
隸	li4	sklavo
蠣	li4	ostro
曆	li4	kalendaro
猁	li4	linko (mambesto)
莉	li4	(pla-sci) jasmeno; jasmenfloro (latine, Jasminum sambac)
櫟	li4	(pla-sci) kverko; kverkarbo (latine, Quercus)
立刻	li4 ke4	tuj
力氣	li4 qi4	forto
利潤	li4 run4	profito
歷史	li4 shi3	historio
慄樹	li4 shu4	(pla-sci) kaŝtanarbo; (latine, Castanea)
立陶宛語	li4 tao2 wan3 yu3	la litova; la litova lingvo
例外	li4 wai4	escepto
粒線體	li4 xian4 ti3	mitokondrio
荔枝樹	li4 zhi1 shu4	(pla-sci) liĉiarbo; (latine, Litchi chinensis)
粒子	li4 zi3	(fiz) partiklo
例子	li4 zi5	ekzemplo
慄子樹	li4 zi5 shu4	(pla-sci) kaŝtanarbo; (latine, Castanea)
連	lian2	eĉ
蓮	lian2	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
連詞	lian2 ci2	konjunkcio (gramatiko)
連…都	lian2 dou1 bu4	eĉ
連…都不	lian2 dou1 bu4	eĉ ne...
聯合國	lian2 he2 guo2	Unuiĝintaj Nacioj; (UN)
聯合國安理會	lian2 he2 guo2  an1 li3 hui4	(m-l) la Sekureca Konsilio de UN
聯合國安全理事會	lian2 he2 guo2  an1 quan2  li3 shi4 hui4	la Sekureca Konsilio de UN
聯合國大會	lian2 he2 guo2  da4 hui4	la Ĝenerala Asembleo de UN
聯合國教科文組織	lian2 he2 guo2  jiao4 ke1 wen2  zu3 zhi1	(m-l) Unesko
聯合國教育科學文化組織	lian2 he2 guo2  jiao4 yu4  ke1 xue2  wen2 hua4  zu3 zhi1	Organizaĵo de UN por Edukado, Scienco kaj Kulturo; Unesko
聯合國秘書處	lian2 he2 guo2  mi4 shu1 chu4	Sekretariejo de UN
聯合國秘書長	lian2 he2 guo2  mi4 shu1 zhang3	Ĝenerala Sekretario de UN
蓮花	lian2 hua1	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
聯絡	lian2 luo4	kontakti
連翹	lian2 qiao2	(pla-sci) forsitio; forsitifloro (latine, Forsythia)
連翹花	lian2 qiao2 hua1	(pla-sci) forsitio; forsitifloro (latine, Forsythia)
連續劇	lian2 xu4 ju4	dramserio; teatraĵserio; televida teatraĵserio; serialo
臉	lian3	(anat) vizaĝo
臉頰	lian3 jia2	(anat) vango
練習簿	lian4 xi2 bu4	ekzerckajero
鏈子	lian4 zi5	ĉeno
良心	liang2 xin1	konscienco
兩	liang3	du
兩分鐘	liang3  fen1 zhong1	du minutoj
兩百	liang3 bai3	ducent (200)
兩百萬	liang3 bai3 wan4	du miliono (2 000 000)
兩倍	liang3 bei4	duoble
兩次	liang3 ci4	dufoje
兩點	liang3 dian3	la dua horo
兩點鐘	liang3 dian3	la dua horo
兩棲動物	liang3 qi1  dong4 wu4	amfibio
兩千	liang3 qian1	du mil (2 000)
兩千萬	liang3 qian1 wan4	dudek miliono (20 000 000)
兩萬	liang3 wan4	dudek mil (20 000)
兩億	liang3 yi4	ducent miliono (200 000 000)
兩者	liang3 zhe3	ambaŭ
聊	liao2	babili
遼	liao2	Ljaŭningo; mallongiga formo de Ljaŭningo
遼	liao2	la Ljaŭ-dinastio; Dinastio Ljaŭ
遼	liao2	Ljaŭ-dinastio; Dinastio Ljaŭ; 907-1125 KE
遼寧	liao2 ning2	Ljaŭningo; provinco de Ĉinio
聊天	liao2 tian1	babili
聊天兒	liao2 tian1	babili
聊天室	liao2 tian1 shi4	babilejo
獠牙	liao2 ya2	dentego
寮語	liao2 yu3	la laosa; la laosa lingvo
了	liao3	kompreni
釕	liao3	(kem) rutenio; la elemento rutenio (Ru), atomnumero 44
瞭解	liao3 jie3	kompreni
獵豹	lie4 bao4	gepardo (mambesto)
裂齒	lie4 chi3	ŝirdento (de karnovoroj)
列出	lie4 chu1	listigi
磷	lin2	(kem) fosforo; la elemento fosforo (P), atomnumero 15
淋巴	lin2 ba1	limfo
淋巴結	lin2 ba1 jie2	(anat) limfonodo
淋巴腺	lin2 ba1 xian4	(anat) limfa glando
鄰居	lin2 ju1	najbaro; proksimulo
臨時	lin2 shi2	provizore
吝嗇	lin4 se4	avara
鈴	ling2	sonorilo
零	ling2	nul (0)
〇	ling2	nul (0)
鈴鐺花	ling2 dang5 hua1	(pla-sci) platikodono; platikodonfloro (latine, Platycodon grandiflorus)
靈感	ling2 gan3	inspiraĵo; inspiro
靈魂	ling2 hun1	animo
零錢	ling2 qian2	restmono; monereta mono
領帶	ling3 dai4	kravato
領導	ling3 dao3	konduki
領土	ling3 tu3	teritorio
領袖	ling3 xiu4	estro
另	ling4	krome
另	ling4	alia
令	ling4	igi
令人吃驚	ling4 ren2  chi1 jing1	miriga
另外一個	ling4 wai4  yi2 ge4	alia
另一	ling4 yi1	alia
另一個	ling4 yi1 ge4	alia
鎦	liu2	(kem) lutecio; la elemento lutecio (Lu), atomnumero 71
硫	liu2	(kem) sulfuro; la elemento sulfuro (S), atomnumero 16
留	liu2	resti
流汗	liu2 han4	ŝviti
流淚	liu2 lei4	larmi; plori
流眼淚	liu2 lei4	larmi; plori
流利	liu2 li4	flua
流體	liu2 ti3	(fiz) fluaĵo
流血	liu2 xie3  / liu2 xue4	sangi
流星	liu2 xing1	(ast) meteoro
流星體	liu2 xing1 ti3	(ast) meteoroido
流星雨	liu2 xing1 yu3	(ast) meteorpluvo
流行	liu2 xing2	populara
留在	liu2 zai4	resti
柳	liu3	(pla-sci) saliko; salikarbo (latine, Salix)
柳樹	liu3 shu4	(pla-sci) saliko; salikarbo (latine, Salix)
六	liu4	ses (6)
六	liu4	sabato
六百	liu4 bai3	sescent (600)
六百萬	liu4 bai3 wan4	ses miliono (6 000 000)
六倍	liu4 bei4	sesoble
六次	liu4 ci4	sesfoje
六點鐘	liu4 dian3	la sesa horo
六點	liu4 dian3	la sesa horo
六分之一	liu4 fen1 zhi1 yi1	sesono
六千	liu4 qian1	ses mil (6 000)
六千萬	liu4 qian1 wan4	sesdek miliono (60 000 000)
六十	liu4 shi2	sesdek (60)
六十八	liu4 shi2 ba1	sesdek ok (68)
六十二	liu4 shi2 er4	sesdek du (62)
六十九	liu4 shi2 jiu3	sesdek naŭ (69)
六十六	liu4 shi2 liu4	sesdek ses (66)
六十七	liu4 shi2 qi1	sesdek sep (67)
六十三	liu4 shi2 san1	sesdek tri (63)
六十四	liu4 shi2 si4	sesdek kvar (64)
六十萬	liu4 shi2 wan4	sescent mil (600 000)
六十五	liu4 shi2 wu3	sesdek kvin (65)
六十一	liu4 shi2 yi1	sesdek unu (61)
六十億	liu4 shi2 yi4	ses miliardo (6 000 000 000)
六萬	liu4 wan4	sesdek mil (60 000)
六億	liu4 yi4	sescent miliono (600 000 000)
六月	liu4 yue4	junio
六月八號	liu4 yue4  ba1  hao4	la oka de junio
六月八日	liu4 yue4  ba1  ri4	la oka de junio
六月二號	liu4 yue4  er4  hao4	la dua de junio
六月二日	liu4 yue4  er4  ri4	la dua de junio
六月二十號	liu4 yue4  er4 shi2  hao4	la dudeka de junio
六月二十日	liu4 yue4  er4 shi2  ri4	la dudeka de junio
六月二十八號	liu4 yue4  er4 shi2 ba1  hao4	la dudek oka de junio
六月二十八日	liu4 yue4  er4 shi2 ba1  ri4	la dudek oka de junio
六月二十二號	liu4 yue4  er4 shi2 er4  hao4	la dudek dua de junio
六月二十二日	liu4 yue4  er4 shi2 er4  ri4	la dudek dua de junio
六月二十九號	liu4 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de junio
六月二十九日	liu4 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de junio
六月二十六號	liu4 yue4  er4 shi2 liu4  hao4	la dudek sesa de junio
六月二十六日	liu4 yue4  er4 shi2 liu4  ri4	la dudek sesa de junio
六月二十七號	liu4 yue4  er4 shi2 qi1  hao4	la dudek sepa de junio
六月二十七日	liu4 yue4  er4 shi2 qi1  ri4	la dudek sepa de junio
六月二十三號	liu4 yue4  er4 shi2 san1  hao4	la dudek tria de junio
六月二十三日	liu4 yue4  er4 shi2 san1  ri4	la dudek tria de junio
六月二十四號	liu4 yue4  er4 shi2 si4  hao4	la dudek kvara de junio
六月二十四日	liu4 yue4  er4 shi2 si4  ri4	la dudek kvara de junio
六月二十五號	liu4 yue4  er4 shi2 wu3  hao4	la dudek kvina de junio
六月二十五日	liu4 yue4  er4 shi2 wu3  ri4	la dudek kvina de junio
六月二十一號	liu4 yue4  er4 shi2 yi1  hao4	la dudek unua de junio
六月二十一日	liu4 yue4  er4 shi2 yi1  ri4	la dudek unua de junio
六月九號	liu4 yue4  jiu3  hao4	la naŭa de junio
六月九日	liu4 yue4  jiu3  ri4	la naŭa de junio
六月六號	liu4 yue4  liu4  hao4	la sesa de junio
六月六日	liu4 yue4  liu4  ri4	la sesa de junio
六月七號	liu4 yue4  qi1  hao4	la sepa de junio
六月七日	liu4 yue4  qi1  ri4	la sepa de junio
六月三號	liu4 yue4  san1  hao4	la tria de junio
六月三日	liu4 yue4  san1  ri4	la tria de junio
六月三十號	liu4 yue4  san1 shi2  hao4	la trideka de junio
六月三十日	liu4 yue4  san1 shi2  ri4	la trideka de junio
六月十號	liu4 yue4  shi2  hao4	la deka de junio
六月十日	liu4 yue4  shi2  ri4	la deka de junio
六月十八號	liu4 yue4  shi2 ba1  hao4	la dek oka de junio
六月十八日	liu4 yue4  shi2 ba1  ri4	la dek oka de junio
六月十二號	liu4 yue4  shi2 er4  hao4	la dek dua de junio
六月十二日	liu4 yue4  shi2 er4  ri4	la dek dua de junio
六月十九號	liu4 yue4  shi2 jiu3  hao4	la dek naŭa de junio
六月十九日	liu4 yue4  shi2 jiu3  ri4	la dek naŭa de junio
六月十六號	liu4 yue4  shi2 liu4  hao4	la dek sesa de junio
六月十六日	liu4 yue4  shi2 liu4  ri4	la dek sesa de junio
六月十七號	liu4 yue4  shi2 qi1  hao4	la dek sepa de junio
六月十七日	liu4 yue4  shi2 qi1  ri4	la dek sepa de junio
六月十三號	liu4 yue4  shi2 san1  hao4	la dek tria de junio
六月十三日	liu4 yue4  shi2 san1  ri4	la dek tria de junio
六月十四號	liu4 yue4  shi2 si4  hao4	la dek kvara de junio
六月十四日	liu4 yue4  shi2 si4  ri4	la dek kvara de junio
六月十五號	liu4 yue4  shi2 wu3  hao4	la dek kvina de junio
六月十五日	liu4 yue4  shi2 wu3  ri4	la dek kvina de junio
六月十一號	liu4 yue4  shi2 yi1  hao4	la dek unua de junio
六月十一日	liu4 yue4  shi2 yi1  ri4	la dek unua de junio
六月四號	liu4 yue4  si4  hao4	la kvara de junio
六月四日	liu4 yue4  si4  ri4	la kvara de junio
六月五號	liu4 yue4  wu3  hao4	la kvina de junio
六月五日	liu4 yue4  wu3  ri4	la kvina de junio
六月一號	liu4 yue4  yi1  hao4	la unua de junio
六月一日	liu4 yue4  yi1  ri4	la unua de junio
窿	long2	kavo
龍	long2	drako (mitologio)
嚨	long2	(anat) gorĝo
龍蝦	long2 xia1	omaro
籠子	long2 zi5	kaĝo
龍嘴花	long2 zui3 hua1	(pla-sci) leonfaŭko; leonfaŭkfloro (latine, Antirrhinum majus)
髏	lou2	(anat) skeleto; ostaro
樓上	lou2 shang4	superŝtupare; supre
樓梯	lou2 ti1	ŝtuparo
樓下	lou2 xia4	subŝtupare; malsupre
漏鬥	lou4 dou3	funelo
蘆	lu2	(pla-sci) kano
顱	lu2	(anat) kranio
爐	lu2	forno
