开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］
华约组织	hua2 yue1  zu3 zhi1	(m-l) Varsovia Traktato; Varsovia Kontrakto
画	hua4	pentraĵo
桦	hua4	(pla-sci) betulo; betularbo (latine, Betula)
画画	hua4 hua4	pentri pentraĵon; pentri
画家	hua4 jia1	pentristo
桦树	hua4 shu4	(pla-sci) betulo; betularbo (latine, Betula)
话题	hua4 ti2	temo
化学	hua4 xue2	kemio
化学符号	hua4 xue2  fu2 hao4	kemia simbolo
化学元素	hua4 xue2  yuan2 su4	kemia elemento
化妆品	hua4 zhuang1 pin3	ŝminko
踝	huai2	(anat) maleolo
槐	huai2	(pla-sci) soforo; soforarbo (latine, Styphnolobium japonicum)
槐树	huai2 shu4	(pla-sci) soforo; soforarbo (latine, Styphnolobium japonicum)
怀疑	huai2 yi2	dubi
坏	huai4	malbona
坏人	huai4	malbonulo
坏了	huai4 le5	rompita
坏透了	huai4 tou4 le5	terura
坏习惯	huai4 xi2 guan4	malbona kutimo
貛	huan1	melo (mambesto)
欢迎	huan1 ying2	bonvenon
还给	huan2 gei3	redoni
还钱	huan2 qian2	repagi
幻觉	huan4 jue2	iluzio
浣熊	huan4 xiong2	prociono (mambesto)
谎言	huang1 yan2	mensogo
凰	huang2	feniksino (mitologio); ina fenikso
黄	huang2	flava
蝗	huang2	akrido (insekto)
皇	huang2	imperiestro
黄矮星	huang2 ai3 xing1	(ast) flava nano
黄蘗	huang2 bo4	(pla-sci) filodendrono; (latine, Philodendron)
蝗虫	huang2 chong2	akrido (insekto)
皇帝	huang2 di4	imperiestro
黄豆	huang2 dou4	sojfabo
黄蜂	huang2 feng1	vespo (insekto)
黄河	Huang2 he2	la Flava Rivero
黄色	huang2 se4	flava
黄鼠狼	huang2 shu3 lang2	mustelo (mambesto)
黄檀木	huang2 tan2 mu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
黄檀树	huang2 tan2 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
黄铜	huang2 tong2	flava kupro
黄星	huang2 xing1	(ast) flava stelo
谎	huang3	mensogo
谎话	huang3 hua4	mensogo
灰	hui1	cindro
灰	hui1	polvo
灰	hui1	griza
灰色	hui1 se4	griza
灰树	hui1 shu4	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
回	hui2	Islama
回答	hui2 da2	respondi
回家	hui2 jia1	reiri hejmen
回教	hui2 jiao4	islamo
回教纪元	hui2 jiao4  ji4 yuan2	la Heĝiro
回教主	hui2 jiao4 zhu3	kalifo
回来	hui2 lai2	reveni
回历	hui2 li4	la Islama kalendaro
回去	hui2 qu4	reiri
回声	hui2 sheng1	postsono; resono; eĥo
回文	hui2 wen2	palindromo (gramatiko)
毁灭	hui3 mie4	detrui
会	hui4	scipovi; povi
会	hui4	paroli; kompreni
会话	hui4 hua4	dialogo
彗星	hui4 xing1	(ast) kometo
会咽	hui4 yan4	(anat) epigloto
会厌	hui4 yan4	(anat) epigloto
会厌软骨	hui4 yan4  ruan3 gu3	(anat) epigloto
会咽软骨	hui4 yan4  ruan3 gu3	(anat) epigloto
会议	hui4 yi4	kunveno
婚礼	hun1 li3	edziĝo; edziniĝo
婚姻	hun1 yin1	edzeco
活动	huo2 dong4	agado
活泼	huo2 po1	viveca; gaja
钬	huo3	(kem) holmio; la elemento holmio (Ho), atomnumero 67
火	huo3	fajro
火车	huo3 che1	trajno
火锅	huo3 guo1	fajropoto; hogo
火鸡	huo3 ji1	meleagro (birdo)
火箭	huo3 jian4	raketo
火警	huo3 jing3	brulavertilo
火山	huo3 shan1	vulkano
火卫一	huo3 wei4 yi1	(ast) Fobo; Marso I
火星	huo3 xing1	(ast) Marso; "Fajrostelo"
或	huo4	aŭ
货车	huo4 che1	kamioneto
或然率	huo4 ran2 lv4	probablo
惑星	huo4 xing1	planedo
或者	huo4 zhe3	aŭ
肌	ji1	(anat) muskolo
鸡	ji1	koko (birdo)
基本	ji1 ben3	baza
基本词汇	ji1 ben3  ci2 hui4	morfemo (lingvistiko)
机场	ji1 chang3	flughaveno
机车	ji1 che1	motorciklo
基础	ji1 chu3	fundo
基督教民主党	ji1 du1 jiao4  min2 zhu3 dang3	Kristandemokratoj; (partio)
基督教徒	ji1 du1 jiao4 tu2	kristano
饥饿	ji1 e4	malsatega
机构	ji1 gou4	organizaĵo
激光	ji1 guang1	lasero
激光打印机	ji1 guang1  da3 yin4 ji1	lasera presilo
几乎	ji1 hu1	preskaŭ
几乎没有	ji1 hu1  mei2 you3	preskaŭ nenio; preskaŭ neniu
饥荒	ji1 huang1	malsatego
机会	ji1 hui4	okazaĵo
机会率	ji1 hui4 lv4	probablo
积极	ji1 ji2	pozitiva
肌腱	ji1 jian4	(anat) tendeno
激进分子	ji1 jin4  fen4 zi3	radikalulo
机率	ji1 lv4	probablo
积木	ji1 mu4	briketoj; bloketoj
机器	ji1 qi4	maŝino
机器人	ji1 qi4 ren2	roboto
激情	ji1 qing2	pasio
肌肉	ji1 rou4	(anat) muskolo
鸡肉	ji1 rou4	kokaĵo
肌肉系统	ji1 rou4  xi4 tong3	muskola sistemo
鸡眼	ji1 yan3	kalo
基因	ji1 yin1	geno
肌组织	ji1 zu3 zhi1	(anat) muskola histo
疾	ji2	malsano
及	ji2	kaj
级	ji2	ŝtupo
吉	ji2	Ĝjilino; mallongiga formo de Ĝjilino
疾病	ji2 bing4	malsano
极端	ji2 duan1	ekstrema
吉林	ji2 lin2	Ĝjilino; provinco de Ĉinio
即使	ji2 shi3	malgraŭ; eĉ se
吉他	ji2 ta1	gitaro
及物动词	ji2 wu4  dong4 ci2	transitiva verbo (gramatiko)
几	ji3	kelka
脊	ji3	(anat) spina medolo
脊	ji3	(anat) vertebra kolono
几倍	ji3 bei4	kelkoble
几次	ji3 ci4	kelkfoje
几点？	ji3 dian3	kioma horo estas?
几点钟？	ji3 dian3 zhong1	kioma horo estas?
几个	ji3 ge5	kelkaj
脊骨	ji3 gu3	(anat) spina medolo
济南	ji3 nan2	Ĝjinano; ĉefurbo de la ĉina provinco Ŝandongo
脊髓	ji3 sui3	(anat) spina medolo
几岁	ji3 sui4	kiom aĝa (... estas)
脊柱	ji3 zhu4	(anat) vertebra kolono
脊椎动物	ji3 zhui1	vertebrulo
脊椎	ji3 zhui1	(anat) spino
脊椎骨	ji3 zhui1 gu3	(anat) spina medolo
蓟	ji4	(pla-sci) kardo; (latine, Carduus)
冀	ji4	Hebejo; mallongiga formo de Hebejo
迹	ji4	spuro
记	ji4	memori
继承	ji4 cheng2	heredi
计程车	ji4 cheng2 che1	taksio
继承人	ji4 cheng2 ren2	heredanto
记得	ji4 de2	memori
寄给	ji4 gei3	sendi
计划	ji4 hua4	plano
季节	ji4 jie2	sezono
寂寞	ji4 mo4	soleca
纪念	ji4 nian4	memorigi
纪念品	ji4 nian4 pin3	memoraĵo
技巧	ji4 qiao3	lerteco
既然	ji4 ran2	tial ke; ĉar
寄生物	ji4 sheng1 wu4	parazito
技术	ji4 shu4	tekniko
计算机	ji4 suan4 ji1	kalkulilo
继续	ji4 xu4	daŭri; daŭrigi
记忆	ji4 yi4	memoro
纪元	ji4 yuan2	erao
记者	ji4 zhe3	ĵurnalisto
记住	ji4 zhu4	memori
家	jia1	hejmo
镓	jia1	(kem) galiumo; la elemento galiumo (Ga), atomnumero 31
家具	jia1 ju4	meblaro; mebloj
家人	jia1 ren2	familio
加上	jia1 shang4	aldoni
加州红木	jia1 zhou1  hong2 mu4	(pla-sci) sekvojo; sekvojarbo (latine, Sequoia sempervirens)
颊	jia2	(anat) vango
钾	jia3	(kem) kalio; la elemento kalio (K), atomnumero 19
假	jia3	malreala
甲虫	jia3 chong2	skarabo (insekto)
甲状腺	jia3 zhuang4 xian4	(anat) tiroida glando
价格	jia4 ge2	prezo
假日	jia4 ri4	ferio
驾驶	jia4 shi3	veturigisto
价值	jia4 zhi2	valoro; indo
肩	jian1	(anat) ŝultro
肩膀	jian1 bang3	(anat) ŝultro
坚持	jian1 chi2	insisti
肩胛骨	jian1 jia3 gu3	(anat) skapolo
尖叫	jian1 jiao4	kriegi
监牢	jian1 lao2	malliberejo
监狱	jian1 yu4	malliberejo
简单	jian3 dan1	simpla
剪刀	jian3 dao1	tondilo
减少	jian3 shao3	malpliigi
简直	jian3 zhi2	simple
健	jian4	sana
见	jian4	vidi
荐	jian4	rekomendi
箭	jian4	sago
键	jian4	klavo
腱	jian4	(anat) tendeno
见	jian4	renkonti
贱	jian4	fia
见到	jian4 dao4	vidi
间谍	jian4 die2	spiono
间接	jian4 jie1	pera; malrekta
间接宾语	jian4 jie1  bin1 yu3	nerekta objekto (gramatiko)
间接引语	jian4 jie1 yin3 yu3	nerekta parolo (gramatiko)
健康	jian4 kang1	sana
健康	jian4 kang1	sano; sana
见面	jian4 mian4	renkonti; renkontiĝi
见面	jian4 mian4	renkonti
键盘	jian4 pan2	klavaro
建设	jian4 she4	konstrui
建议	jian4 yi4	propono; proponi
建议	jian4 yi4	sugesti
建筑物	jian4 zhu2 wu4	konstruaĵo
建筑师	jian4 zhu4 shi1	arkitekto
江	jiang1	rivero
江	jiang1	la Jangzio-rivero
将来时	jiang1 lai2 shi2	futura tempo (gramatiko)
江苏	jiang1 su1	Ĝjangsuo; provinco de Ĉinio
江西	jiang1 xi1	Ĝjangŝjio; provinco de Ĉinio
蒋介石	Jiang3  Jie4 shi2	Ĉiang Kai-ŝek
讲世界语	jiang3  shi4 jie4 yu3	parolas esperanton; paroli esperante
讲话	jiang3 hua4	paroli
将	jiang4	la generalo (ĉina ŝako)
降落伞	jiang4 luo4 san3	paraŝuto
教	jiao1	instrui
蕉	jiao1	(pla-sci) bananarbo; (latine, Musa acuminata)
骄傲	jiao1 ao4	fiera
狡猾	jiao1 hua2	ruza
交换	jiao1 huan4	interŝanĝi
教书	jiao1 shu1	instrui
胶水	jiao1 shui3	gluaĵo
交通	jiao1 tong1	trafiko
交通工具	jiao1 tong1  gong1 ju4	veturilo
脚	jiao3	(anat) piedo
脚脖子	jiao3 bo2 zi5	(anat) maleolo
脚步	jiao3 bu4	paŝo
脚底	jiao3 di3	(anat) plando
角度	jiao3 du4	angulo
脚跟	jiao3 gen1	(anat) kalkano
脚踝	jiao3 huai2	(anat) maleolo
角落	jiao3 luo4	angulo
角色	jiao3 se4  / jue2 se4	rolo
脚踏车	jiao3 ta4 che1	biciklo
绞刑	jiao3 xing2	pendumo
脚印	jiao3 yin4	piedspuro
脚趾甲	jiao3 zhi3 jia3	(anat) ungo
脚趾头	jiao3 zhi3 tou5	(anat) piedfingro
教	jiao4	religio
叫	jiao4	nomiĝi
叫	jiao4	nomi
较	jiao4	pli
教科文组织	jiao4 ke1 wen2  zu3 zhi1	(m-l) Unesko
教室	jiao4 shi4	klasĉambro
教授	jiao4 shou4	profesoro
酵素	jiao4 su4	(anat) enzimo
叫醒	jiao4 xing3	veki
教育	jiao4 yu4	instruado; eduko
叫做	jiao4 zuo4	nomiĝi
阶	jie1	ŝtupo
街道	jie1 dao4	strato
接骨木	jie1 gu3 mu4	(pla-sci) sambuko; sambukarbo (latine, Sambucus)
接骨木树	jie1 gu3 mu4 shu4	(pla-sci) sambuko; sambukarbo (latine, Sambucus)
接骨树	jie1 gu3 shu4	(pla-sci) sambuko; sambukarbo (latine, Sambucus)
接受	jie1 shou4	akcepti
阶梯	jie1 ti1	ŝtuparo
接吻	jie1 wen3	kisi
睫	jie2	(anat) okulharo
结肠	jie2 chang2	(anat) kojlo
结缔组织	jie2 di4  zu3 zhi1	(anat) kuniga histo
桔梗	jie2 geng3	(pla-sci) platikodono; platikodonfloro (latine, Platycodon grandiflorus)
桔梗花	jie2 geng3 hua1	(pla-sci) platikodono; (latine, Platycodon grandiflorus)
结构	jie2 gou4	strukturo
结果	jie2 guo3	rezulto
结婚	jie2 hun1	edziĝi; edziniĝi; geedziĝi
捷克语	jie2 ke4 yu3	la ĉeĥa; la ĉeĥa lingvo
睫毛	jie2 mao2	(anat) okulharo
节目	jie2 mu4	programo
节日	jie2 ri4	festo
结束	jie2 shu4	fini; ĉesi
解雇	jie3 gu4	maldungi
解决	jie3 jue2	solvi
解释	jie3 shi4	klarigi; ekspliki
介词	jie4 ci2	prepozicio (gramatiko)
借给	jie4 gei3	prunti al; pruntedoni al
借口	jie4 kou3	preteksto
借钱	jie4 qian2	prunti monon; pruntepreni monon
介绍	jie4 shao4	prezenti
借书	jie4 shu1	prunti libron; pruntepreni libron
介意	jie4 yi4	zorgi
戒指	jie4 zhi5	ringo
今	jin1	hodiaŭ
金	jin1	(kem) oro; la elemento oro (Au), atomnumero 79
金	jin1	ora
金	jin1	la Ĝin-dinastio; Dinastio Ĝin
津	jin1	Tjanĝino; mallongiga formo de Tjanĝino
金	jin1	orkolora
金朝	jin1 chao2	Ĝin-dinastio; Dinastio Ĝin; 1115-1234 KE
金芙蓉	jin1 fu2 rong2	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
金芙蓉花	jin1 fu2 rong2 hua1	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
金光菊	jin1 guang1 ju2	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
金光菊花	jin1 guang1 ju2 hua1	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
金合欢	jin1 he2 huan1	(pla-sci) akacio; akaciarbo (latine, Acacia)
金合欢树	jin1 he2 huan1 shu4	(pla-sci) akacio; akaciarbo (latine, Acacia)
金莲花	jin1 lian2 hua1	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
金链花	jin1 lian4 hua1	(pla-sci) orpluvo; laburno; orpluvfloro; laburnfloro (latine, Laburnum anagyroides)
金钱	jin1 qian2	mono
金色	jin1 se4	orkolora
金属	jin1 shu3	metalo
今天	jin1 tian1	hodiaŭ
金星	jin1 xing1	(ast) Venuso; "Orostelo"
金鱼草	jin1 yu2 cao3	(pla-sci) leonfaŭko; (latine, Antirrhinum majus)
金盏花	jin1 zhan3 hua1	(pla-sci) kalendulo; kalendulfloro (latine, Calendula officinalis)
金字塔	jin1 zi4 ta3	piramido
槿	jin3	(pla-sci) hibisko; hibiskfloro (latine, Hibiscus syriacus)
紧	jin3	strikta
紧张	jin3 zhang1	maltrankvila
晋	jin4	la Ĝin-dinastio
近	jin4	proksima
晋	jin4	Ŝanhajo; mallongiga formo de Ŝanhajo
进步	jin4 bu4	progreso; pliboniĝo
进步	jin4 bu4	progresi
进化	jin4 hua4	evoluo
进来	jin4 lai2	enveni
近来	jin4 lai2	lastatempe; antaŭ nelonge
进行	jin4 xing2	procedi
禁止	jin4 zhi3	malpermesi
京	jing1	Pekino; mallongiga formo de Pekino
京	jing1	ĉefurbo
鲸	jing1	baleno (mambesto)
经	jing1	ekonomio
睛	jing1	(anat) okulo
精彩	jing1 cai3	mirinda
经过	jing1 guo4	pasi
经合发组织	jing1 he2 fa1  zu3 zhi1	(m-l) Organizaĵo por Ekonomia Kunlaboro kaj Evoluo; (OEKD)
经济	jing1 ji4	ekonomio
经济合作发展组织	jing1 ji4  he2 zuo4  fa1 zhan3  zu3 zhi1	Organizaĵo por Ekonomia Kunlaboro kaj Evoluo; (OEKD)
经理	jing1 li3	administranto
经历	jing1 li4	sperti
惊人	jing1 ren2	surpriza
精神	jing1 shen2	spirito
惊喜	jing1 xi3	surprizo
惊讶	jing1 ya4	surprizita
经验	jing1 yan4	sperto
鲸鱼	jing1 yu2	baleno (mambesto)
颈	jing3	(anat) kolo
景	jing3	pejzaĝo
颈	jing3	(anat) antaŭparto de kolo
警	jing3	polico
警察	jing3 cha2	policisto; policano
警察	jing3 cha2	polico
警察人员	jing3 cha2  ren2 yuan2	policisto; policano
警察局	jing3 cha2 ju2	policejo
颈动脉	jing3 dong4 mai4	karotida arterio
警告	jing3 gao4	averti; averto
警告	jing3 gao4	averti
颈静脉	jing3 jing4 mai4	jugulara vejno
颈项	jing3 xiang4	(anat) kolo
镜	jing4	spegulo
胫	jing4	(anat) kruro
胫骨	jing4 gu3	(anat) tibio
靖国神社	jing4 guo2  shen2 she4	Sanktejo Jasukuni; (en Tokio)
静脉	jing4 mai4	(anat) vejno
竞争	jing4 zheng1	konkuri; konkurado
镜子	jing4 zi5	spegulo
九	jiu3	naŭ (9)
酒	jiu3	alkoholo
久	jiu3	longatempe
酒吧	jiu3 ba1	trinkejo; drinkejo
九百	jiu3 bai3	naŭcent (900)
九百万	jiu3 bai3 wan4	naŭ miliono (9 000 000)
九倍	jiu3 bei4	naŭoble
九次	jiu3 ci4	naŭfoje
九点	jiu3 dian3	la naŭa horo
九点钟	jiu3 dian3	la naŭa horo
酒店	jiu3 dian4	taverno
九分之一	jiu3 fen1 zhi1 yi1	naŭono
酒鬼	jiu3 gui3	drinkulo; drinkemulo
酒精	jiu3 jing1	alkoholo; pura alkoholo
久久	jiu3 jiu3	longatempe
九千	jiu3 qian1	naŭ mil (9 000)
九千万	jiu3 qian1 wan4	naŭdek miliono (90 000 000)
九十	jiu3 shi2	naŭdek (90)
九十八	jiu3 shi2 ba1	naŭdek ok (98)
九十二	jiu3 shi2 er4	naŭdek du (92)
九十九	jiu3 shi2 jiu3	naŭdek naŭ (99)
九十六	jiu3 shi2 liu4	naŭdek ses (96)
九十七	jiu3 shi2 qi1	naŭdek sep (97)
九十三	jiu3 shi2 san1	naŭdek tri (93)
九十四	jiu3 shi2 si4	naŭdek kvar (94)
九十万	jiu3 shi2 wan4	naŭcent mil (900 000)
九十五	jiu3 shi2 wu3	naŭdek kvin (95)
九十一	jiu3 shi2 yi1	naŭdek unu (91)
九十亿	jiu3 shi2 yi4	naŭ miliardo (9 000 000 000)
九万	jiu3 wan4	naŭdek mil (90 000)
酒窝	jiu3 wo1	(anat) kavetoj (vangaj)
九亿	jiu3 yi4	naŭcent miliono (900 000 000)
九月	jiu3 yue4	septembro
九月八号	jiu3 yue4  ba1  hao4	la oka de septembro
九月八日	jiu3 yue4  ba1  ri4	la oka de septembro
九月二号	jiu3 yue4  er4  hao4	la dua de septembro
九月二日	jiu3 yue4  er4  ri4	la dua de septembro
九月二十号	jiu3 yue4  er4 shi2  hao4	la dudeka de septembro
九月二十日	jiu3 yue4  er4 shi2  ri4	la dudeka de septembro
九月二十八号	jiu3 yue4  er4 shi2 ba1  hao4	la dudek oka de septembro
九月二十八日	jiu3 yue4  er4 shi2 ba1  ri4	la dudek oka de septembro
九月二十二号	jiu3 yue4  er4 shi2 er4  hao4	la dudek dua de septembro
九月二十二日	jiu3 yue4  er4 shi2 er4  ri4	la dudek dua de septembro
九月二十九号	jiu3 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de septembro
九月二十九日	jiu3 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de septembro
九月二十六号	jiu3 yue4  er4 shi2 liu4  hao4	la dudek sesa de septembro
九月二十六日	jiu3 yue4  er4 shi2 liu4  ri4	la dudek sesa de septembro
九月二十七号	jiu3 yue4  er4 shi2 qi1  hao4	la dudek sepa de septembro
九月二十七日	jiu3 yue4  er4 shi2 qi1  ri4	la dudek sepa de septembro
九月二十三号	jiu3 yue4  er4 shi2 san1  hao4	la dudek tria de septembro
九月二十三日	jiu3 yue4  er4 shi2 san1  ri4	la dudek tria de septembro
九月二十四号	jiu3 yue4  er4 shi2 si4  hao4	la dudek kvara de septembro
九月二十四日	jiu3 yue4  er4 shi2 si4  ri4	la dudek kvara de septembro
九月二十五号	jiu3 yue4  er4 shi2 wu3  hao4	la dudek kvina de septembro
九月二十五日	jiu3 yue4  er4 shi2 wu3  ri4	la dudek kvina de septembro
九月二十一号	jiu3 yue4  er4 shi2 yi1  hao4	la dudek unua de septembro
九月二十一日	jiu3 yue4  er4 shi2 yi1  ri4	la dudek unua de septembro
九月九号	jiu3 yue4  jiu3  hao4	la naŭa de septembro
九月九日	jiu3 yue4  jiu3  ri4	la naŭa de septembro
九月六号	jiu3 yue4  liu4  hao4	la sesa de septembro
九月六日	jiu3 yue4  liu4  ri4	la sesa de septembro
九月七号	jiu3 yue4  qi1  hao4	la sepa de septembro
九月七日	jiu3 yue4  qi1  ri4	la sepa de septembro
九月三号	jiu3 yue4  san1  hao4	la tria de septembro
九月三日	jiu3 yue4  san1  ri4	la tria de septembro
九月三十号	jiu3 yue4  san1 shi2  hao4	la trideka de septembro
九月三十日	jiu3 yue4  san1 shi2  ri4	la trideka de septembro
九月十号	jiu3 yue4  shi2  hao4	la deka de septembro
九月十日	jiu3 yue4  shi2  ri4	la deka de septembro
九月十八号	jiu3 yue4  shi2 ba1  hao4	la dek oka de septembro
九月十八日	jiu3 yue4  shi2 ba1  ri4	la dek oka de septembro
九月十二号	jiu3 yue4  shi2 er4  hao4	la dek dua de septembro
九月十二日	jiu3 yue4  shi2 er4  ri4	la dek dua de septembro
九月十九号	jiu3 yue4  shi2 jiu3  hao4	la dek naŭa de septembro
九月十九日	jiu3 yue4  shi2 jiu3  ri4	la dek naŭa de septembro
九月十六号	jiu3 yue4  shi2 liu4  hao4	la dek sesa de septembro
九月十六日	jiu3 yue4  shi2 liu4  ri4	la dek sesa de septembro
九月十七号	jiu3 yue4  shi2 qi1  hao4	la dek sepa de septembro
九月十七日	jiu3 yue4  shi2 qi1  ri4	la dek sepa de septembro
九月十三号	jiu3 yue4  shi2 san1  hao4	la dek tria de septembro
九月十三日	jiu3 yue4  shi2 san1  ri4	la dek tria de septembro
九月十四号	jiu3 yue4  shi2 si4  hao4	la dek kvara de septembro
九月十四日	jiu3 yue4  shi2 si4  ri4	la dek kvara de septembro
九月十五号	jiu3 yue4  shi2 wu3  hao4	la dek kvina de septembro
九月十五日	jiu3 yue4  shi2 wu3  ri4	la dek kvina de septembro
九月十一号	jiu3 yue4  shi2 yi1  hao4	la dek unua de septembro
九月十一日	jiu3 yue4  shi2 yi1  ri4	la dek unua de septembro
九月四号	jiu3 yue4  si4  hao4	la kvara de septembro
九月四日	jiu3 yue4  si4  ri4	la kvara de septembro
九月五号	jiu3 yue4  wu3  hao4	la kvina de septembro
九月五日	jiu3 yue4  wu3  ri4	la kvina de septembro
九月一号	jiu3 yue4  yi1  hao4	la unua de septembro
九月一日	jiu3 yue4  yi1  ri4	la unua de septembro
厩	jiu4	ĉevalejo
旧	jiu4	malnova
臼齿	jiu4 chi3	mueldento; molaro (dento)
救护车	jiu4 hu4 che1	ambulanco
就像	jiu4 xiang4	kvazaŭ
车	ju1	turo (ŝako)
驹	ju1	ĉevalido
车	ju1	militĉaro (ĉina ŝako)
居民	ju1 min2	loĝanto
居住	ju1 zhu4	loĝi
菊	ju2	(pla-sci) krizantemo; krizantemfloro (latine, Chrysanthemum)
锔	ju2	(kem) kuriumo; la elemento kuriumo (Cm), atomnumero 96
菊花	ju2 hua1	(pla-sci) krizantemo; krizantemfloro (latine, Chrysanthemum)
菊苣	ju2 ju4	(pla-sci) cikorio; (latine, Cichorium intybus)
橘色	ju2 se4	oranĝkolora; oranĝa
沮丧	ju3 sang4	deprimita
据	ju4	laŭ
剧	ju4	teatraĵo
巨大	ju4 da4	giganta
句法	ju4 fa3	sintakso (gramatiko)
聚会	ju4 hui4	festo
拒绝	ju4 jue2	rifuzi
巨浪	ju4 lang4	ondego
距离	ju4 li2	distanco
剧情	ju4 qing2	rakontintrigo
剧情片	ju4 qing2 pian4	dramo
巨人	ju4 ren2	giganto
巨杉	ju4 shan1	(pla-sci) sekvojo; giganta sekvojo; sekvojarbo (latine, Sequoia sempervirens)
巨杉树	ju4 shan1 shu4	(pla-sci) sekvojo; giganta sekvojo; sekvojarbo (latine, Sequoia sempervirens)
据我所知	ju4 wo3 suo3 zhi1	laŭ mia scio
巨星	ju4 xing1	(ast) giganta stelo
句子	ju4 zi5	frazo (gramatiko)
句子成分	ju4 zi5  cheng2 fen4	frazelemento (gramatiko)
鹃	juan1	kukolo (birdo)
卷丹	juan3 dan1	(pla-sci) tigrolilio; tigrolilifloro (latine, Lilium lancifolium)
卷丹花	juan3 dan1 hua1	(pla-sci) tigrolilio; tigrolilifloro (latine, Lilium lancifolium)
决不	jue2 bu4	nepre ne; absolute ne
觉得	jue2 de2	senti; pensi
决定	jue2 ding4	decidi; decido
绝对	jue2 dui4	nepra; absoluta
绝望	jue2 wang4	malespera
绝缘体	jue2 yuan2 ti3	(fiz) izolilo
绝种	jue2 zhong3	formortinta
军人	jun1 ren2	soldato
咖啡	ka1 fei1	kafo
咖啡馆	ka1 fei1 guan3	kafejo
咖啡色	ka1 fei1 se4	bruna
咖啡厅	ka1 fei1 ting1	kafejo
卡车	ka3 che1	kamiono
卡带	ka3 dai4	sonbendo
卡片	ka3 pian4	karto
开	kai1	malfermi
锎	kai1	(kem) kalifornio; la elemento kalifornio (Cf), atomnumero 98
开电灯	kai1  dian4 deng1	ŝalti lampon
开车	kai1 che1	veturigi; veturigi aŭton
开灯	kai1 deng1	ŝalti lampon
开放	kai1 fang4	liberala
开关	kai1 guan1	ŝaltilo
开罐器	kai1 guan4 qi4	skatolmalfermilo
开罗宣言	kai1 luo2  xuan1 yan2	Kaira Deklaracio; (1943 KE)
开门	kai1 men2	malfermi la pordon
开始	kai1 shi3	komenci
开玩笑	kai1 wan2 xiao4	ŝerci
看	kan4	rigardi
看电影	kan4  dian4 ying3	spekti filmon
看到	kan4 dao4	vidi
看电视	kan4 dian4 shi4	televidi
看法	kan4 fa3	opinio; vidpunkto
看见	kan4 jian4	vidi
看起来	kan4 qi3 lai2	aspekti
看起来很像	kan4 qi3 lai2  hen3 xiang4	aspekti simile
看书	kan4 shu1	legi
康	kang1	sano
慷慨	kang1 kai3	donacema; malavara
康乃馨	kang1 nai3 xin1	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
康乃馨花	kang1 nai3 xin1 hua1	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
钪	kang4	(kem) skandio; la elemento skandio (Sc), atomnumero 21
抗议	kang4 yi4	protesti
考古学	kao3 gu3 xue2	arkeologio
考虑	kao3 lv4	pripensi
烤面包机	kao3 mian4 bao1 ji1	panrostilo
考试	kao3 shi4	testo
烤箱	kao3 xiang1	bakforno
铐	kao4	mankateno
蝌	ke1	ranido (amfibio)
钶	ke1	(kem) "kolombio" = niobo; la elemento niobo (Nb), atomnumero 41
蝌蚪	ke1 dou3	ranido (amfibio)
科技	ke1 ji4	teknologio
科目	ke1 mu4	fako
科学	ke1 xue2	scienco
科学家	ke1 xue2 jia1	sciencisto
咳嗽	ke2 sou4	tusi
可	ke3	sed
可	ke3	rajti
可爱	ke3 ai4	aminda
可不可以	ke3 bu5 ke3 yi3	ĉu vi povas
可不可以	ke3 bu5 ke3 yi3	ĉu rajtas
可不可以	ke3 bu5 ke3 yi3	ĉu mi rajtas
可怜	ke3 lian2	kompatinda
可能	ke3 neng2	eble
可能性	ke3 neng2 xing4	ebleco
可是	ke3 shi4	sed
渴望	ke3 wang4	sopiri; deziregi
可笑	ke3 xiao4	ridinda
可以	ke3 yi3	rajti; povi
可以变格	ke3 yi3  bian4 ge2	deklinaciebla (gramatiko)
可以变化词尾	ke3 yi3  bian4 hua4  ci2 wei3	deklinaciebla (gramatiko)
氪	ke4	(kem) kriptono; la elemento kriptono (Kr), atomnumero 36
课	ke4	leciono
课本	ke4 ben3	lernolibro
客观	ke4 guan1	objektiva
客户	ke4 hu4	kliento; aĉetanto
克罗地亚语	ke4 luo2 di4 ya4 yu3	la kroata; la kroata lingvo
克洛诺斯	Ke4 luo4 nuo4 si1	Krono (helena mitologio)
客气	ke4 qi4	ĝentila
客人	ke4 ren2	gasto
空	kong1	malplena
